How mentally demanding was the task?,50
How physically demanding was the task?,50
How hurried or rushed was the pace of the task?,50
How successful were you in accomplishing what you were asked to do?,50
How hard did you have to work to accomplish your level of performance?,50
How insecure; discouraged; irritated; stressed; and annoyed were you?,50
I understand what the agent's goals are.,50
I know how the agent makes decisions.,50
I can see what alternative decisions are available.,50
I TRUST this autonomous system.,50
I feel positively towards the autonomous system.,50
I believe the system is a competent performer.,50
